Word,Score
cao_su,-1
cao_trào,1
cao_trình_độ,-1
cao_trình_độ_sinh_viên,-1
cáu_gắt,-1
càu_nhàu,-1
cày_cuốc,-1
cặn_kẽ,1
căng,-1
căng_thẳng,-1
cắt,-1
cắt_giảm,-1
cấm,-1
cần,-1
cân_bằng,1
cần_cập,-1
cân_đối,1
cần_kiệm_liêm_chính,1
cân_nhắc,1
cẩn_thận,1
cần_thiết,1
cần_thiết_kế,-1
cần_thiết_thực,-1
cần_thiết_thực_sự,1
cân_xứng,1
cập_nhật,1
cấp_tiến,1
cẩu_thả,-1
có,1
có_hạn,-1
có_học,1
có_hồn,1
có_ích,1
có_lẽ,-1
có_lệ,-1
có_mặt,1
cọc,-1
coi_trọng_điểm,-1
coi_trọng_điểm_số,-1
copy,-1
cố_chấp,-1
cố_định,-1
cô_đọng,1
cố_gắng,1
cổ_hủ,-1
cộc lốc,-1
công_bằng,1
công_minh,1
công_nghệ_được,1
công_tâm,1
cốt_lõi,1
cơ_hội,1
cơ_hội_thao_tác,1
cởi_mở,1
crack,-1
cũ,-1
cũ_kỹ,-1
cụ_thể,1
cụ_thể_hóa,1
cụ_thể_nào,-1
cùi,-1
cũng_bị,-1
cung_cấp,1
củng_cố,1
cũng_hay,1
cuốn,-1
cuốn_chiếu,1
cuốn_hút,1
cúp,-1
cute,1
cứ,-1
cực,-1
cực_hay,1
cực_hình,-1
cực_khổ,-1
cực_tốt,1
cứng,-1
cứng_nhắc,-1
cứng_rắn,1
cười,1
cười_duyên,1
chàn,-1
chán,-1
chán_chường,-1
chán_nản,-1
chay,-1
chạy,-1
chắc,1
chắc_chắn,1
chăm,1
chăm_chỉ,1
chăm_chú,1
chăm_chút,1
chăm_lo,1
chặn,-1
chẵn_lẻ,-1
chẳng,-1
chẳng_biết,-1
chăng_nữa,-1
chắp_vá,-1
chặt,1
chặt_chẽ,1
chặt_chém,-1
chắt_lọc,1
chậm,-1
chấm_dứt,1
chậm_rãi,1
chậm_trễ,-1
chấn_chỉnh,1
chân_thành,1
chập_chờn,-1
chấp_nhận,1
chất,1
chật,-1
chật_chội,-1
chất_lượng,1
che,-1
chém,-1
chéo,-1
chê,-1
chế,-1
chê_bai,-1
chê_trách,-1
chênh_lệch,-1
chết,-1
chết_đuối,-1
chỉ,-1
chỉ_bảo,1
chỉ_có,-1
chi_chít,-1
chỉ_dẫn,1
chỉ_dẫn_nhiệt_tình,1
chỉ_điểm_danh,-1
chỉ_là,-1
chỉ_làm,-1
chỉ_nói,-1
chi_phí,-1
chi_tiết,1
chỉ_thực_hành,-1
chia_sẻ,1
chiếm,-1
chiêm_nghiệm,1
chiêu,1
chiều,1
chính,1
chính_đáng,1
chỉnh_đốn,-1
chỉnh_sửa,-1
chính_thống,1
chính_xác,1
chịu,-1
chịu_khó,1
chịu_thua,-1
cho_cùng,-1
cho_dù,-1
cho_thêm,1
choáng,-1
choáng_ngợp,-1
chói,-1
chọn_lọc,1
chóng_mặt,-1
chót,-1
chồng_chéo,-1
chốt,1
chờ,-1
chớ,-1
chơi,1
chơi_đểu,-1
chơi_nhỏ,-1
chơi_thân,1
chu_đáo,1
chủ_động,1
chủ_quan,-1
chú_tâm,1
chú_trọng,1
chú_ý,1
chủ_yếu,1
chuẩn,1
chuẩn_bị,1
chuẩn_hóa,1
chuẩn_mực,1
chuẩn_xác,1
chúc,1
chui,-1
chung_chung,-1
chuột_bạch,-1
chút_nào,-1
chút_xíu,-1
chuyên,1
chuyên_cần,1
chuyển_đổi,1
chuyên_môn,1
chuyên_nghiệp,1
chuyên_sâu,1
chuyên_tâm,1
chưa,-1
chữa,-1
chưa_biết,-1
chưa_có,-1
chưa_được,-1
chưa_hết,-1
chưa_kể,-1
chưa_kịp,-1
chưa_nói,-1
chửi,-1
chửi_mắng,-1
dã_ngoại,1
dài,-1
dài_dòng,-1
dám,1
dàn_trải,-1
dạt,-1
dày,-1
dày_đặc,-1
dặn_dò,1
dẫn_chứng_minh_hoạ,1
dẫn_chứng_thực_tế,1
dẫn_dắt,1
dần_dần,1
dầy,-1
deadline,-1
dealine,-1
dễ,1
dễ_chịu,1
dễ_dãi,-1
dễ_dàng,1
dễ_hiểu,1
dễ_tiếp_thu,1
dễ_tìm,1
dễ_tính,1
dễ_thở,1
